嗚呼,ああ,Ah!
強硬,きょうこう,firm
凶作,きょうさく,bad harvest
共産,きょうさん,communism
教材,きょうざい,teaching materials
教習,きょうしゅう,training
郷愁,きょうしゅう,nostalgia
教職,きょうしょく,teaching certificate
享受,きょうじゅ,reception
興じる,きょうじる,to amuse oneself
強制,きょうせい,obligation
共存,きょうそん,coexistence
姉妹,きょうだい,sisters
協調,きょうちょう,co-operation
協定,きょうてい,arrangement
脅迫,きょうはく,threat
共鳴,きょうめい,resonance
郷里,きょうり,birth-place
強烈,きょうれつ,strong
共和,きょうわ,republicanism
曲,きょく,tune
局限,きょくげん,limit
極端,きょくたん,extreme
居住,きょじゅう,residence
拒絶,きょぜつ,refusal
拒否,きょひ,denial
許容,きょよう,permission
距離,きょり,distance
寄与,きよ,contribution
清らか,きよらか,clean
気楽,きらく,at ease
煌びやか,きらびやか,gorgeous
切り,きり,limits
桐,きり,paulownia tree
切り替える,きりかえる,to change
気流,きりゅう,atmospheric current
奇麗,きれい,pretty
切れ目,きれめ,break
際,きわ,edge
木綿,きわた,cotton
極めて,きわめて,exceedingly
僅,きん,a little
近眼,きんがん,nearsightedness
緊急,きんきゅう,urgent
近々,きんきん,nearness
近郊,きんこう,suburbs
均衡,きんこう,equilibrium
近視,きんし,shortsightedness
禁じる,きんじる,to prohibit
禁ずる,きんずる,to forbid
勤勉,きんべん,industry
勤務,きんむ,service
禁物,きんもつ,taboo
勤労,きんろう,labor
議案,ぎあん,legislative bill
戯曲,ぎきょく,play
議決,ぎけつ,resolution
議事堂,ぎじどう,Diet building
犠牲,ぎせい,sacrifice
偽造,ぎぞう,forgery
議題,ぎだい,topic of discussion
技能,ぎのう,technical skill
行,ぎょう,line
業者,ぎょうしゃ,trader
行政,ぎょうせい,administration
業績,ぎょうせき,achievement
業務,ぎょうむ,business
玉,ぎょく,king 
漁船,ぎょせん,fishing boat
漁村,ぎょそん,fishing village
義理,ぎり,duty
疑惑,ぎわく,doubt
吟味,ぎんみ,testing
区,く,ward
食い違う,くいちがう,to cross each other
空腹,くうふく,hunger
区画,くかく,division
区間,くかん,section 
茎,くき,stalk
区切り,くぎり,an end
潜る,くぐる,1. to drive
種々,くさぐさ,variety
嚏,くしゃみ,sneeze
旧事,くじ,past events
籤引,くじびき,lottery
擽ぐったい,くすぐったい,ticklish
草臥れる,くたびれる,to get tired
下らない,くだらない,good-for-nothing
件,くだん,example
